16:9 Cinematic,English (scene) + Portuguese (speech),Profissionais e criadores curiosos que querem aprender a se comunicar com IA,Dominar a linguagem da IA para ampliar o poder criativo e economizar tempo,"Curiosos, comunicativos e adaptáveis",Formação FEP — Fundamentos de Engenharia de Prompt,Curso prático de comunicação com IA,Dominar prompts e entender comportamento da máquina,Aulas rápidas e interativas,Aprender o novo idioma digital,Home office moderno,Morning light,Jovem focado digitando no notebook,"Escreve, observa a IA gerar, sorri",Entusiasmo e curiosidade,"Antigamente a gente aprendia a escrever pra pessoas. Agora, aprendemos a pensar pra conversar com máquinas.",Comunicar-se com a IA é o novo idioma do futuro.,"Luzes suaves, reflexos de tela, close inspirador",Logo INEMA.VIP com brilho suave
16:9 Cinematic,English (scene) + Portuguese (speech),Empreendedores e autônomos que querem multiplicar resultados sem ampliar equipe,Automatizar tarefas e processos para ganhar tempo e liberdade,Visionários e estratégicos,Programa FAE — Automação Empreendedora,Mentoria prática em automação com IA,Criar sistemas inteligentes que substituem tarefas manuais,Aprendizado baseado em casos reais,Libertar tempo e aumentar produtividade,Café e laptop,Morning light,Empreendedor observando fluxos automáticos,Analisa planilhas enquanto a IA executa tarefas,Satisfação e foco,Antes eu contratava pessoas pra fazer. Hoje ensino as máquinas.,Automação não tira empregos. Cria liberdade.,"Som ambiente suave, laptop com telas animadas",Fade-out com logo INEMA.VIP
16:9 Cinematic,English (scene) + Portuguese (speech),"Líderes, coaches e comunicadores",Usar IA para entender comportamento humano e emoções,Empáticos e observadores,Série FNIA — Influência do Comportamento Humano e IA,Série educativa,Explorar como IA lê e reflete emoções humanas,Aulas em formato híbrido e discussões,Autoconhecimento e empatia ampliados,Escritório calmo,Afternoon light,Mulher em videoconferência,Analisa emoções na tela e sorri,Serenidade e reflexão,"Enquanto uns têm medo da IA, outros aprendem com ela sobre si mesmos.",Autoconhecimento é o novo poder da IA.,Close no rosto e brilho suave nos olhos,Fade com luz dourada
16:9 Cinematic,English (scene) + Portuguese (speech),Jovens e sêniors dispostos a aprender juntos,Gerar conexão entre gerações e construir pontes com a IA,Colaborativos e curiosos,Comunidade INEMA.VIP — Encontros de Gerações Digitais,Programa colaborativo,Aprendizado intergeracional com IA,Oficinas práticas e debates ao vivo,Conectar gerações por meio da tecnologia,Sala familiar,Afternoon light,Avô e neto no computador,Aprendem juntos a usar a IA,Carinho e admiração mútua,Ele me ensina tecnologia. Eu ensino sabedoria. E juntos entendemos o futuro.,Aprender com gerações diferentes é hackear o tempo.,"Tom quente e natural, close nas mãos digitando",Logo INEMA.VIP com brilho dourado
16:9 Cinematic,English (scene) + Portuguese (speech),Pessoas cansadas de teoria e que querem agir,Praticar e aplicar conhecimento em IA,Pragmáticas e criativas,Comunidade INEMA.VIP — Espaços de Prática,Comunidade de aprendizado ativo,Testar automações e soluções reais,"Aprender fazendo, errando e compartilhando",Transformar conhecimento em ação,Ambiente doméstico,Evening light,Pessoas em casa com notebooks,Interagem online trocando resultados,Entusiasmo e colaboração,Não é mais sobre fazer curso. É sobre praticar e evoluir juntos.,INEMA.VIP — onde o conhecimento vira ação.,Tela dividida com várias pessoas criando,Logo INEMA.VIP suave sobre luz roxa
16:9 Cinematic,English (scene) + Portuguese (speech),Educadores e mentores digitais,Criar novas formas de ensinar com IA,Criativos e inspiradores,Programa INEMA.VIP Educadores 5.0,Formação docente em IA,Usar IA para criar experiências de aprendizado,Workshops e práticas guiadas,Revolucionar o ensino com IA prática,Estúdio criativo,Morning light,Professor ajustando câmera,Fala sobre IA com entusiasmo,Inspiração e inovação,Ensinar com IA é ensinar o futuro.,Educação 5.0 começa agora.,"Cores vibrantes, fundo educacional",Logo INEMA.VIP animado
16:9 Cinematic,English (scene) + Portuguese (speech),Artistas e designers,Usar IA como ferramenta criativa,Sensíveis e experimentais,INEMA.VIP Criadores Visuais,Laboratório de arte e IA,Explorar arte generativa e design assistido,Experimentos visuais guiados,União de criatividade e tecnologia,Ateliê digital,Soft light,Artista mexendo em tablet,Cria imagem e observa IA completar,Surpresa e encantamento,A IA não copia. Ela amplia o olhar humano.,"Crie com IA, crie o impossível.",Cores vivas e formas orgânicas,Fade-in de logo com glitch criativo
16:9 Cinematic,English (scene) + Portuguese (speech),Profissionais de marketing e negócios,Aproveitar IA para campanhas e conteúdo inteligente,Analíticos e criativos,INEMA.VIP Marketing IA,Mentoria estratégica,Automação de campanhas e análise inteligente,Estudos de caso e ferramentas práticas,Campanhas que se ajustam ao público,Escritório moderno,Bright light,Profissional analisando dashboard,Ajusta parâmetros e observa IA gerar textos,Concentração e conquista,A IA não rouba o seu trabalho. Ela multiplica o seu alcance.,Marketing inteligente é marketing humano.,Cores frias e tela de dados,Logo INEMA.VIP animado no final
16:9 Cinematic,English (scene) + Portuguese (speech),Freelancers e criadores independentes,Aprender a usar IA para gerar novas fontes de renda,Proativos e curiosos,Programa INEMA.VIP Freelance 4.0,Treinamento prático,Usar IA em serviços criativos e consultorias,Aulas curtas e desafios aplicados,Transformar talento em negócio digital,Cafeteria moderna,Morning light,Freelancer com notebook,Apresenta resultados para cliente remoto,Orgulho e autonomia,"Com IA, você não trabalha mais sozinho.",Liberdade é saber usar a tecnologia.,Tom quente e inspirador,Fade final com logo dourado
16:9 Cinematic,English (scene) + Portuguese (speech),Todos que buscam propósito e equilíbrio na era digital,"Unir tecnologia, mente e propósito",Reflexivos e conscientes,INEMA.VIP Mind & Tech,Programa de autoconhecimento digital,Explorar relação entre IA e comportamento humano,Sessões e práticas guiadas,Equilíbrio entre humano e máquina,Espaço zen,Morning light,Pessoa meditando com laptop ao lado,Fecha olhos e respira profundamente,Calma e insight,A IA acelera o mundo. Você precisa aprender a desacelerar com ela.,Tecnologia com propósito transforma pessoas.,Luz natural e tons suaves,Logo INEMA.VIP em fade branco
